descricao_hash;descricao_exemplo;unidade;familia_textual;itens;processos;elegiveis_modelagem;insucesso_qtd;deserto_qtd;fracassado_qtd;baixa_comp_qtd;propostas_media;valor_cotado_mediano;valor_homologado_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;desconto_pct_mediano;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct
8280341839484091802;Canaleta, conforme edital;Unidade;de / com / para / em / do;18;2;18;9;0;9;18;1.5;25.25;25.25;25.25;0.0;0.0;0;0;0;50.0;0.0;50.0;100.0
2761065830656652266;Areia Média;Metro Cúbico;de / com / para / em / do;50;49;48;9;2;7;14;4.0;174.52499999999998;140.625;140.625;24.106666564941406;10.241657257080078;16;5;1;18.75;4.166666666666666;14.583333333333334;28.000000000000004
9162268106191172896;Etanol;litros;de / com / para / em / do;55;51;51;9;8;1;37;1.5454545454545454;4.29;4.44;4.44;-3.378378391265869;0.7537688612937927;2;1;3;17.647058823529413;15.686274509803921;1.9607843137254901;67.27272727272727
9869276810366837891;LAVAGEM EXTERNA E INTERNA;SVR;de / com / para / em / do;8;1;8;8;0;8;0;3.0;135.0;;17.81;658.0010986328125;;0;0;0;100.0;0.0;100.0;0.0
11200127876108802403;LAVAGEM EXTERNA;SVR;de / com / para / em / do;8;1;8;8;0;8;0;3.0;107.08500000000001;;17.81;501.2633361816406;;0;0;0;100.0;0.0;100.0;0.0
11992863923970771876;LAVAGEM EXTERNA, INTERNA E MOTOR (COMPLETA);SVR;de / com / para / em / do;8;1;8;8;0;8;0;3.0;181.19;;17.81;917.3498229980469;;0;0;0;100.0;0.0;100.0;0.0
14435491249686351628;VENTILADOR DE PAREDE TUFÃO;UNIDADE;de / com / para / em / do;15;2;15;8;0;8;8;1.9333333333333333;5.0;5.0;5.0;0.0;0.0;0;0;0;53.333333333333336;0.0;53.333333333333336;53.333333333333336
12914197625372855276;VENTILADOR DE PAREDE DELTA PREMIUM;UNIDADE;de / com / para / em / do;16;2;16;8;0;8;8;2.0;5.0;5.0;5.0;0.0;0.0;0;0;0;50.0;0.0;50.0;50.0
14360474247642032269;CONJUNTO ESCOLAR VERDE;UNIDADE;de / com / para / em / do;16;2;16;8;0;8;8;2.0;5.0;5.0;5.0;0.0;0.0;0;0;0;50.0;0.0;50.0;50.0
11012533694237094594;Cadeira fixa;UN;de / com / para / em / do;26;15;22;8;0;8;8;4.923076923076923;94.27000000000001;106.5;83.0;13.578313827514648;4.007323265075684;2;1;0;36.36363636363637;0.0;36.36363636363637;30.76923076923077
14135103057219584208;CLOBAZAM 10 MG;COMP;de / com / para / em / do;32;28;29;8;4;4;14;2.625;0.9923500000000001;0.82;0.82;21.01829242706299;13.684210777282715;2;0;0;27.586206896551722;13.793103448275861;13.793103448275861;43.75
